Time,Sample,Phase
0, 0, 0.000453515
0, 1, 0.000453515
1, 0.00284951, 0.000907029
1, 1, 0.000907029
2, 0.005699, 0.00136054
2, 1, 0.00136054
3, 0.00854845, 0.00181406
3, 1, 0.00181406
4, 0.0113978, 0.00226757
4, 1, 0.00226757
5, 0.0142471, 0.00272109
5, 1, 0.00272109
6, 0.0170963, 0.0031746
6, 1, 0.0031746
7, 0.0199453, 0.00362812
7, 1, 0.00362812
8, 0.0227942, 0.00408163
8, 1, 0.00408163
9, 0.0256428, 0.00453515
9, 1, 0.00453515
10, 0.0284913, 0.00498866
10, 1, 0.00498866
11, 0.0313396, 0.00544218
11, 1, 0.00544218
12, 0.0341875, 0.00589569
12, 1, 0.00589569
13, 0.0370353, 0.00634921
13, 1, 0.00634921
14, 0.0398827, 0.00680272
14, 1, 0.00680272
15, 0.0427298, 0.00725624
15, 1, 0.00725624
16, 0.0455765, 0.00770975
16, 1, 0.00770975
17, 0.0484229, 0.00816327
17, 1, 0.00816327
18, 0.0512688, 0.00861678
18, 1, 0.00861678
19, 0.0541144, 0.0090703
19, 1, 0.0090703
20, 0.0569595, 0.00952381
20, 1, 0.00952381
21, 0.0598042, 0.00997733
21, 1, 0.00997733
22, 0.0626483, 0.0104308
22, 1, 0.0104308
23, 0.065492, 0.0108844
23, 1, 0.0108844
24, 0.0683351, 0.0113379
24, 1, 0.0113379
25, 0.0711777, 0.0117914
25, 1, 0.0117914
26, 0.0740197, 0.0122449
26, 1, 0.0122449
27, 0.0768611, 0.0126984
27, 1, 0.0126984
28, 0.0797019, 0.0131519
28, 1, 0.0131519
29, 0.082542, 0.0136054
29, 1, 0.0136054
30, 0.0853815, 0.014059
30, 1, 0.014059
31, 0.0882202, 0.0145125
31, 1, 0.0145125
32, 0.0910583, 0.014966
32, 1, 0.014966
33, 0.0938956, 0.0154195
33, 1, 0.0154195
34, 0.0967321, 0.015873
34, 1, 0.015873
35, 0.0995679, 0.0163265
35, 1, 0.0163265
36, 0.102403, 0.0167801
36, 1, 0.0167801
37, 0.105237, 0.0172336
37, 1, 0.0172336
38, 0.10807, 0.0176871
38, 1, 0.0176871
39, 0.110903, 0.0181406
39, 1, 0.0181406
40, 0.113734, 0.0185941
